Sample,X,Y,Z
0,0.0193,0.8342,0.0009
1,0.0326,0.9688,-0.0237
2,0.0343,0.9765,-0.0192
3,0.0346,0.9774,-0.0206
4,0.0271,0.9869,-0.0258
5,0.0283,0.9789,-0.0207
6,0.0307,0.9795,-0.0212
7,0.0347,0.9861,-0.0184
8,0.0361,0.9839,-0.0231
9,0.0361,0.9843,-0.0253
10,0.0351,0.9754,-0.0185
11,0.0312,0.9825,-0.0187
12,0.0244,0.9778,-0.0211
13,0.0366,0.9814,-0.0269
14,0.0410,0.9800,-0.0169
15,0.0323,0.9775,-0.0222
16,0.0294,0.9847,-0.0248
17,0.0341,0.9849,-0.0205
18,0.0314,0.9800,-0.0220
19,0.0310,0.9830,-0.0196
20,0.0153,0.9836,-0.0215
21,0.0264,0.9843,-0.0253
22,0.0362,0.9831,-0.0214
23,0.0373,0.9856,-0.0222
24,0.0353,0.9783,-0.0168
25,0.0338,0.9875,-0.0217
26,0.0319,0.9833,-0.0192
27,0.0288,0.9753,-0.0232
28,0.0282,0.9805,-0.0181
29,0.0358,0.9789,-0.0197
30,0.0319,0.9797,-0.0273
31,0.0240,0.9761,-0.0215
32,0.0323,0.9749,-0.0222
33,0.0356,0.9809,-0.0178
34,0.0353,0.9858,-0.0168
35,0.0309,0.9809,-0.0214
36,0.0317,0.9795,-0.0172
37,0.0334,0.9838,-0.0202
38,0.0314,0.9822,-0.0165
39,0.0298,0.9786,-0.0178
40,0.0217,0.9747,-0.0222
41,0.0338,0.9756,-0.0256
42,0.0327,0.9849,-0.0187
43,0.0389,0.9842,-0.0200
44,0.0314,0.9803,-0.0232
45,0.0287,0.9783,-0.0253
46,0.0353,0.9870,-0.0185
47,0.0382,0.9872,-0.0203
48,0.0302,0.9825,-0.0180
49,0.0325,0.9791,-0.0166
50,0.0349,0.9821,-0.0228
51,0.0353,0.9781,-0.0190
52,0.0309,0.9775,-0.0220
53,0.0324,0.9854,-0.0286
54,0.0354,0.9854,-0.0274
55,0.0334,0.9779,-0.0212
56,0.0274,0.9807,-0.0233
57,0.0305,0.9786,-0.0265
58,0.0365,0.9813,-0.0200
59,0.0321,0.9844,-0.0183
60,0.0374,0.9856,-0.0257
61,0.0310,0.9813,-0.0530
62,0.0356,0.9819,-0.0338
63,0.0391,0.9807,-0.0268
64,0.0397,0.9824,-0.0222
65,0.0388,0.9831,-0.0217
66,0.0367,0.9884,-0.0253
67,0.0353,0.9802,-0.0292
68,0.0341,0.9831,-0.0226
69,0.0368,0.9775,-0.0191
