Sample,X,Y,Z
0,0.0199,0.8806,-0.0072
1,0.0321,0.9633,-0.0195
2,0.0297,0.9805,-0.0223
3,0.0348,0.9870,-0.0200
4,0.0358,0.9829,-0.0147
5,0.0349,0.9777,-0.0225
6,0.0259,0.9778,-0.0232
7,0.0249,0.9807,-0.0292
8,0.0345,0.9897,-0.0181
9,0.0376,0.9847,-0.0221
10,0.0275,0.9796,-0.0217
11,0.0289,0.9781,-0.0253
12,0.0346,0.9796,-0.0300
13,0.0390,0.9816,-0.0201
14,0.0369,0.9825,-0.0198
15,0.0275,0.9797,-0.0228
16,0.0268,0.9724,-0.0233
17,0.0374,0.9817,-0.0153
18,0.0403,0.9774,-0.0179
19,0.0308,0.9834,-0.0232
20,0.0294,0.9718,-0.0136
21,0.0361,0.9769,-0.0193
22,0.0342,0.9832,-0.0217
23,0.0353,0.9793,-0.0223
24,0.0274,0.9735,-0.0179
25,0.0356,0.9792,-0.0185
26,0.0380,0.9774,-0.0206
27,0.0333,0.9836,-0.0233
28,0.0341,0.9719,-0.0269
29,0.0336,0.9728,-0.0258
30,0.0341,0.9808,-0.0222
31,0.0372,0.9820,-0.0233
32,0.0287,0.9800,-0.0176
33,0.0308,0.9799,-0.0183
34,0.0361,0.9774,-0.0215
35,0.0374,0.9789,-0.0273
36,0.0321,0.9834,-0.0229
37,0.0235,0.9792,-0.0238
38,0.0226,0.9732,-0.0235
39,0.0394,0.9827,-0.0243
40,0.0148,0.9906,-0.0165
41,0.0286,0.9785,-0.0192
42,0.0295,0.9732,-0.0253
43,0.0358,0.9812,-0.0216
44,0.0328,0.9851,-0.0244
45,0.0323,0.9828,-0.0261
46,0.0294,0.9752,-0.0231
47,0.0287,0.9788,-0.0286
48,0.0332,0.9861,-0.0204
49,0.0353,0.9816,-0.0200
50,0.0314,0.9743,-0.0212
51,0.0321,0.9815,-0.0238
52,0.0344,0.9855,-0.0229
53,0.0309,0.9805,-0.0280
54,0.0322,0.9762,-0.0261
55,0.0363,0.9815,-0.0206
56,0.0339,0.9824,-0.0253
57,0.0336,0.9893,-0.0257
58,0.0309,0.9769,-0.0186
59,0.0366,0.9811,-0.0181
60,0.0148,0.9928,-0.0077
61,0.0202,0.9766,-0.0251
62,0.0231,0.9727,-0.0277
63,0.0345,0.9718,-0.0212
64,0.0364,0.9821,-0.0255
65,0.0339,0.9855,-0.0251
66,0.0253,0.9794,-0.0263
67,0.0339,0.9772,-0.0203
68,0.0358,0.9841,-0.0193
69,0.0286,0.9913,-0.0223
70,0.0229,0.9774,-0.0223
71,0.0332,0.9708,-0.0202
72,0.0385,0.9761,-0.0178
73,0.0316,0.9886,-0.0242
74,0.0344,0.9783,-0.0200
75,0.0293,0.9717,-0.0183
76,0.0334,0.9771,-0.0234
77,0.0386,0.9865,-0.0247
78,0.0412,0.9849,-0.0198
79,0.0334,0.9798,-0.0229
80,0.0087,0.9692,-0.0152
81,0.0401,0.9831,-0.0203
82,0.0393,0.9864,-0.0205
83,0.0332,0.9822,-0.0183
84,0.0267,0.9781,-0.0190
85,0.0336,0.9778,-0.0261
86,0.0371,0.9901,-0.0229
87,0.0424,0.9851,-0.0180
88,0.0316,0.9809,-0.0192
89,0.0326,0.9766,-0.0239
